Traffic Division,Total Challan,Total Challan Amount,Paid Challan,Paid Challan Amount,Unpaid Challan,Unpaid Challan Amount
Multimedia Cell,517149,642863050,124328,174448550,392821,468414500
Mankhurd,201239,158242150,55378,45230800,145861,113011350
Bandra,188528,164811500,64474,52736600,124054,112074900
Samta Nagar,163694,123830100,65285,45773000,98409,78057100
Trombe,158761,91502500,36667,20005900,122094,71496600
Azad Maidan,157513,115742450,63283,42855000,94230,72887450
Ghatkopar,157370,89346050,41534,22295600,115836,67050450
Colaba,151277,118769650,64998,49007900,86279,69761750
Nagpada,150732,136093400,65089,53476100,85643,82617300
MIDC (MUM),150386,124770900,42829,34444900,107557,90326000
Byculla,149532,128314450,50342,40699300,99190,87615150
Kanjurmarg,148768,120879400,40323,29285100,108445,91594300
Mulund,148543,97887250,39285,23270550,109258,74616700
KalbaDevi,147069,112495650,64110,43992700,82959,68502950
Jogeshwari,145582,96143850,44769,30355450,100813,65788400
Vikroli,142067,89346400,43739,25711050,98328,63635350
Sakinaka,140673,120351700,43184,34802950,97489,85548750
Chunabhatti,136034,85002400,35826,21940650,100208,63061750
DN Nagar,135019,83136650,52608,28782800,82411,54353850
Dadar,134835,99568600,50690,34601900,84145,64966700
Borivali,134706,86153800,47282,25712600,87424,60441200
Dindoshi,133101,98518650,43880,30933450,89221,67585200
Sahar,131792,95646100,49016,32225900,82776,63420200
Kandivali,130466,100986150,40758,29480950,89708,71505200
Chembur,130308,95464650,43044,30025450,87264,65439200
D.B. Marg,128216,107598500,53546,42430800,74670,65167700
Pydhonie,126909,120016050,46093,35994800,80816,84021250
Mahim,125781,100733950,39054,27464400,86727,73269550
Kurla,123902,94047500,36244,19418650,87658,74628850
Bhoiwada,120819,99959950,42708,32795950,78111,67164000
Tardeo,120361,102547050,61152,49846850,59209,52700200
Santacruz,120188,83757000,44843,28997450,75345,54759550
Oshiwara,117534,98522600,41061,29802650,76473,68719950
Vakola,104818,79870100,45062,29457200,59756,50412900
Worli,103744,95755350,43590,36941750,60154,58813600
Goregaon (Mum),103407,83854250,53766,34739550,49641,49114700
Dahisar,98389,76936200,38149,27714400,60240,49221800
Marine Drive,95140,80325300,37156,30063500,57984,50261800
Wadala,93758,85683650,22943,19857500,70815,65826150
BKC,93305,66378850,39202,24438300,54103,41940550
Antophill,89785,64041600,23266,14159250,66519,49882350
Matunga,85951,68137900,35472,24348350,50479,43789550
Grand Total,5937151,4784033250,2016028,1510566500,3921123,3273466750
