Vehicle Types,Total Challan,Total Challan Amount,Paid Challan,Paid Challan Amount,Unpaid Challan,Unpaid Challan Amount
3W Tempo,35660,29834550,11580,7501350,24080,22333200
4W Tempo,313265,278436850,123820,102359050,189445,176077800
Concrete Mixer,31632,37957500,21967,27080650,9665,10876850
Crane,4524,5050600,1302,1449800,3222,3600800
Dumper,29381,31155650,14288,15124850,15093,16030800
Forklift,135,157850,37,39050,98,118800
FOUR_WHEELER,338467,486790500,177820,199311000,160647,287479500
Heavy Vehicle,247756,263762100,94484,104608250,153272,159153850
HEAVY_VEHICLE,2794,3280600,1071,1165600,1723,2115000
JCB Excavator Machine with Tyre,1196,1542400,291,370900,905,1171500
Multi Axle Truck,118361,114800850,43429,43352700,74932,71448150
Private Auto-Rikshaw,18619,7033350,4070,1047450,14549,5985900
Private Bus,28025,26132300,9999,8812500,18026,17319800
Private Car,928683,791437900,412679,338544200,516004,452893700
Public Auto-Rikshaw,769899,311604050,174002,45460350,595897,266143700
Public Transport Bus,46192,43472500,14337,12763700,31855,30708800
Radio Taxi,62984,57348100,25201,21900200,37783,35447900
School Bus,7236,7046000,1854,1779750,5382,5266250
THREE_WHEELER,34660,33736500,5030,4701250,29630,29035250
Tourist Van,238599,223064650,91776,80499850,146823,142564800
Towing Van,1583,1513250,490,454300,1093,1058950
Tractor,2774,2476900,915,792450,1859,1684450
Tractor Trailer,471,541150,118,125450,353,415700
Truck,229900,229519000,84820,84119300,145080,145399700
TWO_WHEELER,3043889,2317966250,776703,491424600,2267186,1826541650
Yellow Taxi,248240,149152300,76840,36125400,171400,113026900
Grand Total,6784925,5454813650,2168923,1630913950,4616002,3823899700
